id,social-security-number,house-number,age-group,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,native-country-code,native-country,label
6340,446115865.0,1361.0,1,private,330715.0,hs-grad,9.0,married-civ-spouse,craft-repair,husband,white,male,4,0,2,USA,united-states,1.0
1616,349704574.0,5149.0,2,private,145441.0,bachelors,13.0,married-civ-spouse,exec-managerial,husband,white,male,2,0,3,USA,united-states,1.0
12129,486785600.0,1029.0,4,self-emp-not-inc,27886.0,some-college,10.0,married-civ-spouse,exec-managerial,husband,white,male,0,0,2,USA,united-states,1.0
7363,423562498.0,2699.0,0,private,104439.0,some-college,10.0,never-married,adm-clerical,not-in-family,white,female,0,0,3,USA,united-states,0.0
5139,996853834.0,8336.0,4,self-emp-not-inc,98015.0,doctorate,16.0,married-civ-spouse,prof-specialty,husband,white,male,4,0,1,USA,united-states,1.0
17189,165480157.0,3636.0,2,private,278576.0,hs-grad,9.0,married-civ-spouse,machine-op-inspct,husband,white,male,0,0,3,USA,united-states,1.0
7801,152301331.0,5818.0,2,local-gov,215862.0,doctorate,16.0,married-civ-spouse,exec-managerial,husband,white,male,3,0,2,USA,united-states,1.0
11798,373351322.0,1629.0,2,federal-gov,265604.0,hs-grad,9.0,married-civ-spouse,craft-repair,husband,black,male,0,0,2,USA,united-states,0.0
26270,764966260.0,2144.0,4,private,179781.0,hs-grad,9.0,married-civ-spouse,exec-managerial,husband,white,male,0,0,2,USA,united-states,1.0
26209,224053803.0,9281.0,1,private,144949.0,10th,6.0,married-civ-spouse,craft-repair,husband,white,male,0,0,2,USA,united-states,1.0
25835,278124109.0,7084.0,1,private,231826.0,some-college,10.0,married-civ-spouse,sales,husband,white,male,0,0,2,USA,united-states,1.0
1334,669337275.0,1669.0,4,,365996.0,hs-grad,9.0,widowed,,unmarried,white,female,2,0,2,USA,united-states,1.0
9322,891927655.0,2249.0,4,self-emp-not-inc,144071.0,5th-6th,3.0,married-civ-spouse,other-service,husband,white,male,1,0,0,SLV,el-salvador,0.0
25619,354960064.0,9610.0,1,private,100135.0,bachelors,13.0,separated,prof-specialty,unmarried,white,female,0,0,1,USA,united-states,0.0
20345,580471417.0,3291.0,1,private,55291.0,bachelors,13.0,married-civ-spouse,prof-specialty,husband,white,male,0,0,2,USA,united-states,1.0
20090,336928734.0,9059.0,4,private,146159.0,7th-8th,4.0,widowed,priv-house-serv,not-in-family,black,female,0,2,1,USA,united-states,0.0
5714,370306431.0,4746.0,3,private,102308.0,bachelors,13.0,married-civ-spouse,prof-specialty,husband,white,male,0,0,3,USA,united-states,1.0
11712,391841664.0,6726.0,1,private,279608.0,5th-6th,3.0,married-civ-spouse,farming-fishing,husband,white,male,0,0,2,MEX,mexico,0.0
24896,650966400.0,9673.0,2,private,92733.0,hs-grad,9.0,married-civ-spouse,craft-repair,husband,white,male,0,0,2,USA,united-states,1.0
14432,459372425.0,5817.0,1,local-gov,246463.0,bachelors,13.0,divorced,prof-specialty,not-in-family,white,male,0,0,3,USA,united-states,0.0
21906,815260356.0,2946.0,3,local-gov,273402.0,7th-8th,4.0,married-civ-spouse,transport-moving,husband,white,male,0,3,2,USA,united-states,0.0
17062,618624172.0,3089.0,3,private,90363.0,assoc-acdm,12.0,married-civ-spouse,exec-managerial,husband,white,male,0,0,2,USA,united-states,1.0
11940,748075992.0,5007.0,2,private,37718.0,bachelors,13.0,married-civ-spouse,prof-specialty,husband,white,male,0,0,2,USA,united-states,1.0
4556,821632386.0,5486.0,,private,175674.0,bachelors,13.0,married-civ-spouse,sales,husband,white,male,0,0,3,USA,united-states,1.0
19032,821759228.0,9818.0,1,private,121321.0,hs-grad,9.0,married-civ-spouse,farming-fishing,husband,white,male,0,0,2,USA,united-states,0.0
8336,189549049.0,3976.0,4,state-gov,186376.0,bachelors,13.0,married-civ-spouse,prof-specialty,husband,white,male,2,0,2,USA,united-states,1.0
11732,222109011.0,9384.0,0,local-gov,276840.0,12th,8.0,never-married,other-service,own-child,black,male,0,0,0,USA,united-states,0.0
14760,563816084.0,702.0,2,private,227890.0,some-college,10.0,divorced,craft-repair,not-in-family,white,male,0,0,3,USA,united-states,1.0
11501,468281465.0,7065.0,4,self-emp-not-inc,252431.0,some-college,10.0,married-civ-spouse,prof-specialty,wife,white,female,0,0,0,USA,united-states,0.0
26900,798054355.0,627.0,0,local-gov,145112.0,bachelors,13.0,never-married,prof-specialty,own-child,white,female,0,0,2,USA,united-states,0.0
6812,819232596.0,4854.0,1,private,156743.0,masters,14.0,married-civ-spouse,sales,husband,white,male,0,0,4,USA,united-states,1.0
18679,677068632.0,801.0,4,private,207281.0,some-college,10.0,married-civ-spouse,protective-serv,husband,white,male,0,0,0,USA,united-states,0.0
5194,701455259.0,7179.0,0,private,60331.0,some-college,10.0,never-married,transport-moving,not-in-family,white,male,0,0,3,USA,united-states,0.0
21156,577732972.0,1986.0,2,private,48087.0,bachelors,13.0,married-civ-spouse,exec-managerial,husband,white,male,0,0,2,USA,united-states,1.0
20205,222116384.0,5534.0,0,local-gov,191921.0,bachelors,13.0,never-married,craft-repair,own-child,white,male,0,0,1,USA,united-states,0.0
9502,402169883.0,6737.0,2,private,219164.0,masters,14.0,married-civ-spouse,prof-specialty,husband,black,male,2,0,2,USA,united-states,1.0
4309,665262572.0,8900.0,2,self-emp-not-inc,32016.0,hs-grad,9.0,married-civ-spouse,farming-fishing,husband,white,male,0,0,4,USA,united-states,0.0
24922,738192047.0,8370.0,2,private,262688.0,some-college,10.0,married-civ-spouse,sales,husband,black,male,3,0,3,USA,united-states,1.0
12840,114352913.0,7273.0,0,private,32732.0,some-college,10.0,never-married,machine-op-inspct,not-in-family,white,male,0,0,2,USA,united-states,0.0
4028,872159233.0,6737.0,4,private,162432.0,some-college,10.0,divorced,other-service,not-in-family,white,female,0,0,2,USA,united-states,0.0
15297,483051446.0,4899.0,1,private,96020.0,bachelors,13.0,married-civ-spouse,exec-managerial,wife,white,female,0,0,3,USA,united-states,1.0
12259,599643301.0,4097.0,3,private,302868.0,bachelors,13.0,married-civ-spouse,sales,husband,white,male,0,0,3,USA,united-states,1.0
19911,984623941.0,4748.0,1,private,226975.0,some-college,10.0,never-married,sales,own-child,white,male,0,2,3,USA,united-states,0.0
18742,630766167.0,5857.0,2,private,244522.0,hs-grad,9.0,married-civ-spouse,craft-repair,husband,white,male,3,0,2,USA,united-states,1.0
15263,614572191.0,2524.0,1,self-emp-not-inc,334267.0,some-college,10.0,never-married,farming-fishing,not-in-family,white,male,0,0,2,USA,united-states,0.0
11274,940641246.0,3743.0,1,local-gov,419740.0,bachelors,13.0,never-married,prof-specialty,not-in-family,white,male,0,0,3,USA,united-states,0.0
19827,440096681.0,1334.0,1,private,211424.0,some-college,10.0,married-civ-spouse,handlers-cleaners,husband,white,male,0,0,2,USA,united-states,1.0
245,470825205.0,3726.0,2,state-gov,98989.0,bachelors,13.0,married-civ-spouse,prof-specialty,husband,amer-indian-eskimo,male,0,0,2,USA,united-states,1.0
19684,873758294.0,2323.0,1,,565769.0,preschool,1.0,never-married,,not-in-family,black,male,0,0,2,ZAF,south,0.0
5483,507168994.0,5526.0,3,federal-gov,270859.0,bachelors,13.0,married-civ-spouse,prof-specialty,husband,white,male,0,0,2,USA,united-states,1.0
5324,794999959.0,3169.0,1,private,250354.0,10th,6.0,never-married,craft-repair,other-relative,white,male,0,0,2,USA,united-states,0.0
13530,485012043.0,3192.0,1,private,329993.0,some-college,10.0,married-civ-spouse,adm-clerical,husband,white,male,0,0,2,USA,united-states,0.0
10182,202109966.0,1880.0,2,private,208045.0,masters,14.0,never-married,prof-specialty,not-in-family,white,male,0,0,2,USA,united-states,1.0
19215,869290303.0,8337.0,0,private,338013.0,some-college,10.0,divorced,tech-support,not-in-family,white,female,0,0,2,USA,united-states,0.0
9704,363315444.0,2519.0,3,federal-gov,202560.0,bachelors,13.0,married-civ-spouse,exec-managerial,wife,white,female,0,0,2,USA,united-states,1.0
22469,273092294.0,9892.0,1,private,102986.0,5th-6th,3.0,married-civ-spouse,machine-op-inspct,wife,asian-pac-islander,female,0,0,2,LAO,laos,1.0
308,241520189.0,8323.0,3,local-gov,274689.0,assoc-acdm,12.0,divorced,protective-serv,not-in-family,white,male,0,0,2,USA,united-states,0.0
10257,382581207.0,6830.0,1,private,24961.0,assoc-voc,11.0,married-civ-spouse,tech-support,husband,white,male,0,0,2,USA,united-states,0.0
7964,483652790.0,8394.0,1,private,223212.0,bachelors,13.0,married-civ-spouse,prof-specialty,husband,white,male,0,0,2,PER,peru,0.0
21218,681533321.0,572.0,0,private,138513.0,hs-grad,9.0,never-married,handlers-cleaners,not-in-family,white,male,0,0,2,USA,united-states,0.0
26217,764127444.0,4388.0,4,self-emp-inc,77816.0,prof-school,15.0,married-civ-spouse,prof-specialty,husband,white,male,4,0,2,USA,united-states,1.0
13693,741356321.0,7586.0,3,federal-gov,43705.0,some-college,10.0,married-civ-spouse,other-service,husband,white,male,0,0,3,USA,united-states,0.0
7886,877577004.0,6383.0,3,private,25826.0,10th,6.0,married-civ-spouse,craft-repair,husband,white,male,0,2,3,USA,united-states,1.0
21828,823345944.0,6394.0,0,,94746.0,some-college,10.0,never-married,,own-child,white,male,0,0,2,PRT,portugal,0.0
4953,670583921.0,2876.0,1,private,248795.0,hs-grad,9.0,never-married,machine-op-inspct,not-in-family,white,female,0,0,2,USA,united-states,0.0
9345,503756752.0,7159.0,2,state-gov,354929.0,assoc-acdm,12.0,divorced,protective-serv,not-in-family,black,male,0,0,2,USA,united-states,0.0
10624,202643022.0,4430.0,0,private,130795.0,10th,6.0,never-married,other-service,own-child,white,male,0,0,0,USA,united-states,0.0
10497,606976764.0,4397.0,4,private,69867.0,bachelors,13.0,married-civ-spouse,prof-specialty,husband,white,male,0,0,3,USA,united-states,1.0
7809,509681819.0,6177.0,4,private,198170.0,bachelors,13.0,married-civ-spouse,exec-managerial,husband,white,male,0,0,2,USA,united-states,1.0
23372,539386088.0,8771.0,2,private,30267.0,hs-grad,9.0,married-civ-spouse,transport-moving,husband,white,male,0,0,3,USA,united-states,0.0
7930,792271359.0,3599.0,1,local-gov,120508.0,bachelors,13.0,divorced,protective-serv,unmarried,white,female,0,0,3,DUE,germany,0.0
3105,902120629.0,9169.0,1,private,155781.0,some-college,10.0,married-civ-spouse,handlers-cleaners,husband,white,male,0,0,2,USA,united-states,0.0
21681,741376327.0,5840.0,2,private,224232.0,bachelors,13.0,married-civ-spouse,sales,husband,white,male,0,0,2,USA,united-states,1.0
11947,725414372.0,628.0,3,self-emp-inc,147869.0,hs-grad,9.0,married-civ-spouse,sales,husband,white,male,0,0,3,USA,united-states,0.0
16583,295624565.0,6129.0,4,private,183213.0,assoc-voc,11.0,widowed,prof-specialty,not-in-family,white,male,4,0,3,USA,united-states,1.0
24329,778827684.0,4161.0,2,local-gov,42703.0,some-college,10.0,married-civ-spouse,adm-clerical,wife,white,female,0,0,2,USA,united-states,1.0
26082,202528883.0,8496.0,2,private,183096.0,bachelors,13.0,divorced,adm-clerical,not-in-family,white,female,0,0,1,USA,united-states,0.0
22102,991846045.0,6639.0,3,federal-gov,297906.0,bachelors,13.0,married-civ-spouse,prof-specialty,husband,asian-pac-islander,male,0,0,3,USA,united-states,1.0
10605,700033998.0,5628.0,3,self-emp-not-inc,180446.0,some-college,10.0,married-civ-spouse,tech-support,husband,black,male,0,0,2,USA,united-states,1.0
24337,390637574.0,6763.0,1,private,26252.0,assoc-acdm,12.0,never-married,other-service,unmarried,amer-indian-eskimo,female,0,0,2,USA,united-states,0.0
27716,947164228.0,5943.0,2,federal-gov,421871.0,bachelors,13.0,never-married,adm-clerical,not-in-family,black,male,2,0,3,USA,united-states,0.0
25448,569792855.0,6190.0,1,self-emp-not-inc,282972.0,bachelors,13.0,never-married,prof-specialty,not-in-family,white,female,0,0,0,USA,united-states,0.0
19381,151286479.0,4468.0,1,private,232356.0,bachelors,13.0,married-civ-spouse,exec-managerial,husband,white,male,0,0,2,USA,united-states,1.0
2405,798335484.0,2216.0,3,private,54985.0,hs-grad,9.0,married-civ-spouse,machine-op-inspct,husband,white,male,0,2,2,USA,united-states,1.0
13745,451983754.0,3319.0,4,private,89698.0,hs-grad,9.0,widowed,adm-clerical,not-in-family,black,female,0,0,2,USA,united-states,0.0
2577,592174323.0,5939.0,1,private,180574.0,assoc-voc,11.0,never-married,prof-specialty,not-in-family,white,female,0,0,2,USA,united-states,0.0
26544,372414716.0,8887.0,1,private,190303.0,bachelors,13.0,divorced,prof-specialty,not-in-family,white,male,1,0,0,USA,united-states,0.0
24544,932503727.0,1664.0,2,self-emp-not-inc,204235.0,masters,14.0,married-civ-spouse,exec-managerial,husband,white,male,4,0,3,USA,united-states,1.0
13687,669659012.0,1497.0,0,private,111467.0,some-college,10.0,never-married,handlers-cleaners,not-in-family,white,male,0,0,2,USA,united-states,0.0
1362,446584536.0,5313.0,2,self-emp-not-inc,409189.0,some-college,10.0,married-civ-spouse,craft-repair,husband,white,male,0,0,2,USA,united-states,1.0
4447,423313887.0,1778.0,1,private,35032.0,some-college,10.0,married-civ-spouse,handlers-cleaners,husband,white,male,0,0,3,USA,united-states,0.0
6112,567464290.0,439.0,4,self-emp-inc,76212.0,hs-grad,9.0,married-civ-spouse,transport-moving,husband,white,male,0,0,3,USA,united-states,1.0
24084,419691271.0,259.0,2,state-gov,185619.0,masters,14.0,married-civ-spouse,prof-specialty,husband,amer-indian-eskimo,male,0,0,1,USA,united-states,1.0
9109,844864793.0,2576.0,3,self-emp-not-inc,183668.0,5th-6th,3.0,married-civ-spouse,farming-fishing,husband,white,male,0,0,3,USA,united-states,0.0
12434,627169082.0,7177.0,1,local-gov,319280.0,hs-grad,9.0,married-civ-spouse,protective-serv,husband,white,male,0,0,2,USA,united-states,1.0
20507,909882327.0,6074.0,3,local-gov,139347.0,masters,14.0,married-civ-spouse,prof-specialty,wife,white,female,0,0,2,,,1.0
6920,800218318.0,5792.0,3,private,165001.0,masters,14.0,married-civ-spouse,exec-managerial,husband,white,male,0,0,2,USA,united-states,1.0
18634,427102247.0,7175.0,3,,141807.0,hs-grad,9.0,never-married,,not-in-family,white,male,4,0,2,USA,united-states,1.0
18839,540763351.0,2686.0,3,private,204584.0,bachelors,13.0,married-spouse-absent,exec-managerial,not-in-family,white,female,0,0,2,USA,united-states,0.0
14108,265453160.0,4184.0,1,self-emp-not-inc,80933.0,hs-grad,9.0,divorced,farming-fishing,not-in-family,white,male,0,0,2,USA,united-states,0.0
19805,756737394.0,7829.0,1,state-gov,137900.0,bachelors,13.0,never-married,prof-specialty,not-in-family,white,female,0,0,3,USA,united-states,1.0
26966,885853452.0,8415.0,1,private,236993.0,some-college,10.0,never-married,adm-clerical,unmarried,white,female,0,0,1,USA,united-states,0.0
17444,693537081.0,3016.0,2,private,101318.0,some-college,10.0,married-spouse-absent,prof-specialty,not-in-family,asian-pac-islander,female,0,0,2,CHN,china,1.0
2267,523214464.0,7543.0,1,private,252752.0,masters,14.0,never-married,exec-managerial,not-in-family,white,female,4,0,3,USA,united-states,1.0
3929,207350162.0,1022.0,4,private,224174.0,assoc-voc,11.0,widowed,craft-repair,not-in-family,black,male,0,0,2,,,0.0
14797,888074724.0,1439.0,1,private,149726.0,bachelors,13.0,married-civ-spouse,tech-support,husband,white,male,3,0,2,USA,united-states,1.0
22820,711386243.0,3473.0,2,private,270557.0,masters,14.0,divorced,other-service,not-in-family,white,female,0,0,3,USA,united-states,1.0
24751,296361205.0,4408.0,1,private,143083.0,masters,14.0,married-civ-spouse,exec-managerial,wife,white,female,0,0,2,USA,united-states,1.0
1166,971070116.0,3881.0,2,private,43546.0,some-college,10.0,divorced,machine-op-inspct,unmarried,white,female,0,0,3,USA,united-states,0.0
6536,374093770.0,915.0,1,federal-gov,127651.0,bachelors,13.0,married-civ-spouse,prof-specialty,husband,white,male,0,0,2,USA,united-states,1.0
23178,998823883.0,8951.0,4,private,296152.0,some-college,10.0,divorced,exec-managerial,other-relative,white,female,1,0,0,USA,united-states,0.0
11771,461022926.0,3086.0,4,private,200427.0,doctorate,16.0,married-civ-spouse,prof-specialty,husband,white,male,0,0,2,USA,united-states,1.0
17617,342306697.0,1192.0,1,self-emp-not-inc,29254.0,some-college,10.0,married-civ-spouse,farming-fishing,husband,white,male,0,0,3,USA,united-states,1.0
11216,562681653.0,5417.0,1,private,195136.0,bachelors,13.0,married-civ-spouse,prof-specialty,wife,white,female,0,2,2,USA,united-states,1.0
19544,360372375.0,4071.0,1,private,107793.0,hs-grad,9.0,married-civ-spouse,craft-repair,husband,white,male,0,0,2,DUE,germany,1.0
15820,321333149.0,1511.0,3,private,198681.0,some-college,10.0,married-civ-spouse,transport-moving,husband,white,male,0,0,4,USA,united-states,1.0
7752,204733661.0,826.0,1,private,177675.0,some-college,10.0,married-civ-spouse,sales,husband,white,male,0,0,3,USA,united-states,1.0
12217,720046832.0,1897.0,0,private,241185.0,hs-grad,9.0,never-married,adm-clerical,not-in-family,white,female,0,0,2,USA,united-states,0.0
1419,966342398.0,5731.0,3,private,124076.0,doctorate,16.0,married-civ-spouse,prof-specialty,wife,white,female,4,0,2,USA,united-states,1.0
27250,405987882.0,6884.0,3,private,111961.0,hs-grad,9.0,married-civ-spouse,other-service,wife,black,female,0,0,1,USA,united-states,0.0
27274,112604744.0,6332.0,2,private,145784.0,hs-grad,9.0,never-married,other-service,other-relative,asian-pac-islander,female,0,0,2,,,0.0
24990,417996628.0,4178.0,2,private,22494.0,some-college,10.0,divorced,exec-managerial,unmarried,white,female,0,0,2,USA,united-states,0.0
17098,558822971.0,3482.0,3,private,208630.0,hs-grad,9.0,divorced,adm-clerical,unmarried,white,female,0,2,2,USA,united-states,0.0
6428,266504479.0,3578.0,0,private,188996.0,9th,5.0,never-married,sales,not-in-family,white,female,0,0,1,USA,united-states,0.0
12335,907162245.0,4463.0,0,private,316702.0,some-college,10.0,never-married,sales,own-child,white,male,0,0,2,USA,united-states,0.0
6951,489598515.0,3690.0,2,local-gov,433705.0,hs-grad,9.0,married-civ-spouse,protective-serv,husband,white,male,0,0,3,USA,united-states,1.0
14101,853386060.0,8346.0,1,state-gov,513416.0,masters,14.0,never-married,prof-specialty,not-in-family,white,male,0,0,0,USA,united-states,0.0
9629,799685733.0,5568.0,3,private,140516.0,hs-grad,9.0,married-civ-spouse,protective-serv,husband,white,male,0,0,2,USA,united-states,1.0
3353,794809268.0,4879.0,2,private,126622.0,11th,7.0,divorced,handlers-cleaners,unmarried,white,female,0,0,2,USA,united-states,0.0
10951,360462439.0,8081.0,3,private,65353.0,assoc-voc,11.0,married-civ-spouse,craft-repair,husband,white,male,0,0,2,USA,united-states,0.0
15874,494926320.0,569.0,1,private,202051.0,bachelors,13.0,married-civ-spouse,exec-managerial,husband,white,male,0,0,2,USA,united-states,1.0
21082,955978846.0,6802.0,2,private,309990.0,hs-grad,9.0,separated,adm-clerical,not-in-family,white,female,3,0,3,USA,united-states,1.0
15838,401349815.0,6619.0,1,private,315640.0,masters,14.0,never-married,prof-specialty,not-in-family,asian-pac-islander,male,0,0,0,CHN,china,0.0
19416,320199699.0,9877.0,2,private,290306.0,hs-grad,9.0,married-civ-spouse,craft-repair,husband,white,male,0,0,2,USA,united-states,1.0
16217,144607366.0,6148.0,1,private,187203.0,hs-grad,9.0,never-married,sales,other-relative,white,male,0,0,2,USA,united-states,0.0
16118,773494940.0,2818.0,3,private,244025.0,hs-grad,9.0,never-married,machine-op-inspct,unmarried,amer-indian-eskimo,male,0,0,3,PRI,puerto-rico,0.0
15453,960233831.0,8893.0,1,private,164190.0,10th,6.0,married-civ-spouse,transport-moving,husband,white,male,0,0,2,USA,united-states,0.0
17869,287895747.0,1304.0,0,private,97508.0,hs-grad,9.0,never-married,other-service,own-child,white,male,0,0,3,USA,united-states,0.0
20981,184473561.0,4055.0,1,private,304283.0,hs-grad,9.0,married-civ-spouse,machine-op-inspct,husband,white,male,0,0,2,USA,united-states,0.0
14406,241422937.0,6300.0,2,private,278924.0,hs-grad,9.0,divorced,sales,not-in-family,white,male,0,0,2,USA,united-states,0.0
24182,263101796.0,7809.0,3,private,159755.0,hs-grad,9.0,married-civ-spouse,exec-managerial,husband,white,male,3,0,2,USA,united-states,1.0
17962,930069627.0,7097.0,4,private,151369.0,masters,14.0,married-civ-spouse,exec-managerial,husband,white,male,0,0,3,USA,united-states,1.0
7656,844115254.0,2470.0,3,self-emp-not-inc,35295.0,bachelors,13.0,never-married,sales,unmarried,white,male,0,0,3,USA,united-states,1.0
23673,704135761.0,8016.0,0,private,140459.0,11th,7.0,never-married,craft-repair,other-relative,white,male,0,0,1,USA,united-states,0.0
9213,277042323.0,6787.0,3,private,199067.0,bachelors,13.0,married-civ-spouse,exec-managerial,husband,white,male,4,0,2,USA,united-states,1.0
15046,941107446.0,3552.0,1,private,207202.0,10th,6.0,married-civ-spouse,transport-moving,husband,white,male,0,0,4,USA,united-states,0.0
6421,183220939.0,7189.0,2,federal-gov,153066.0,masters,14.0,married-civ-spouse,prof-specialty,husband,white,male,0,0,2,USA,united-states,1.0
26549,639791209.0,2958.0,2,private,297449.0,bachelors,13.0,married-civ-spouse,adm-clerical,husband,white,male,2,0,3,USA,united-states,1.0
13572,890887880.0,5420.0,3,private,146409.0,some-college,10.0,widowed,exec-managerial,unmarried,white,female,0,0,2,USA,united-states,0.0
