id,social-security-number,house-number,age-group,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,native-country-code,native-country
9463,364500652.0,2122.0,1,private,337908.0,some-college,10.0,divorced,adm-clerical,unmarried,black,female,0,0,1,USA,united-states
21060,975838646.0,8493.0,1,private,151001.0,5th-6th,3.0,married-civ-spouse,machine-op-inspct,husband,white,male,1,0,2,MEX,mexico
25972,194656900.0,4446.0,0,private,272615.0,11th,7.0,never-married,craft-repair,own-child,white,male,0,0,2,USA,united-states
5312,294180474.0,4545.0,4,,398626.0,doctorate,16.0,divorced,prof-specialty,unmarried,white,male,4,0,2,USA,united-states
10305,689237077.0,3624.0,1,private,242654.0,some-college,10.0,divorced,sales,unmarried,black,female,0,1,2,HND,honduras
4058,817649935.0,9191.0,1,self-emp-inc,333636.0,hs-grad,9.0,married-civ-spouse,exec-managerial,husband,black,male,0,0,4,USA,united-states
14958,762298078.0,2081.0,1,private,198003.0,some-college,10.0,married-civ-spouse,craft-repair,husband,white,male,2,0,3,USA,united-states
6944,363251764.0,5558.0,4,self-emp-not-inc,241121.0,7th-8th,4.0,married-civ-spouse,farming-fishing,husband,white,male,0,0,2,USA,united-states
27342,648185177.0,1089.0,0,private,434467.0,hs-grad,9.0,never-married,sales,not-in-family,white,male,0,0,3,USA,united-states
23439,533204378.0,1216.0,0,,148409.0,some-college,10.0,never-married,,own-child,white,male,0,2,2,USA,united-states
3382,445282931.0,8869.0,0,,154938.0,11th,7.0,never-married,,own-child,white,male,0,0,0,USA,united-states
14401,711182003.0,1768.0,2,self-emp-not-inc,255543.0,5th-6th,3.0,married-civ-spouse,farming-fishing,husband,white,male,0,0,4,USA,united-states
23586,234318791.0,4915.0,0,private,30039.0,some-college,10.0,never-married,prof-specialty,own-child,white,male,0,0,2,USA,united-states
1227,166483423.0,1483.0,3,private,163002.0,hs-grad,9.0,separated,adm-clerical,other-relative,white,female,0,0,2,USA,united-states
21617,371090943.0,312.0,4,private,281792.0,bachelors,13.0,married-civ-spouse,prof-specialty,husband,white,male,0,0,2,USA,united-states
17791,296219232.0,6789.0,0,private,44738.0,hs-grad,9.0,never-married,handlers-cleaners,other-relative,white,male,0,0,2,USA,united-states
4519,559694045.0,1708.0,4,self-emp-not-inc,96073.0,prof-school,15.0,married-civ-spouse,prof-specialty,husband,white,male,0,0,3,GBR,england
8079,625346953.0,1100.0,2,private,110402.0,assoc-voc,11.0,married-civ-spouse,machine-op-inspct,husband,white,male,0,0,2,USA,united-states
5678,641250390.0,5823.0,2,self-emp-inc,140365.0,bachelors,13.0,married-civ-spouse,exec-managerial,husband,white,male,0,3,3,USA,united-states
10122,434393547.0,809.0,1,private,187560.0,hs-grad,9.0,married-civ-spouse,prof-specialty,husband,white,male,4,0,2,USA,united-states
20202,685348434.0,6171.0,2,private,191502.0,assoc-voc,11.0,married-civ-spouse,craft-repair,husband,white,male,0,0,2,USA,united-states
18492,655888235.0,9960.0,2,private,86643.0,bachelors,13.0,divorced,exec-managerial,not-in-family,white,male,4,0,3,USA,united-states
22022,335451891.0,624.0,3,self-emp-not-inc,44728.0,some-college,10.0,married-civ-spouse,sales,husband,white,male,0,0,3,USA,united-states
22097,196705720.0,1590.0,1,private,228457.0,11th,7.0,divorced,handlers-cleaners,not-in-family,white,male,0,0,2,USA,united-states
11176,418769088.0,9667.0,2,private,115803.0,hs-grad,9.0,married-civ-spouse,craft-repair,husband,white,male,0,0,2,USA,united-states
26099,541137398.0,8142.0,1,private,154227.0,some-college,10.0,married-civ-spouse,machine-op-inspct,husband,white,male,0,0,2,USA,united-states
18442,261555211.0,8495.0,2,private,324421.0,hs-grad,9.0,divorced,sales,not-in-family,white,male,0,0,0,USA,united-states
9773,231847160.0,5158.0,1,private,200802.0,assoc-voc,11.0,separated,adm-clerical,own-child,white,female,0,0,2,USA,united-states
16457,631216948.0,5768.0,1,private,23778.0,some-college,10.0,never-married,exec-managerial,not-in-family,white,male,2,0,2,USA,united-states
23931,317108855.0,1813.0,0,private,213834.0,assoc-voc,11.0,never-married,sales,own-child,white,female,0,0,0,USA,united-states
22824,854501936.0,8901.0,4,local-gov,114060.0,hs-grad,9.0,married-civ-spouse,transport-moving,husband,white,male,0,0,2,USA,united-states
14177,786979117.0,1048.0,0,private,418324.0,some-college,10.0,never-married,sales,own-child,white,male,0,0,2,USA,united-states
26221,151397000.0,6576.0,4,,198019.0,hs-grad,9.0,widowed,,not-in-family,white,female,0,0,1,USA,united-states
12610,783447577.0,9432.0,2,self-emp-not-inc,282722.0,prof-school,15.0,married-civ-spouse,prof-specialty,husband,white,male,4,0,3,USA,united-states
27124,807327560.0,8232.0,3,state-gov,276241.0,bachelors,13.0,married-civ-spouse,exec-managerial,husband,white,male,0,0,2,USA,united-states
5216,445692485.0,7713.0,2,private,115422.0,hs-grad,9.0,married-civ-spouse,farming-fishing,husband,white,male,0,0,1,USA,united-states
14363,923238843.0,2570.0,3,local-gov,25820.0,assoc-voc,11.0,divorced,exec-managerial,not-in-family,amer-indian-eskimo,male,0,0,3,USA,united-states
8919,542316876.0,9212.0,1,private,182162.0,hs-grad,9.0,married-civ-spouse,adm-clerical,wife,white,female,0,0,2,USA,united-states
21937,225186558.0,4997.0,1,private,284531.0,bachelors,13.0,never-married,sales,not-in-family,white,female,0,0,2,USA,united-states
5199,185322612.0,6964.0,2,,103886.0,hs-grad,9.0,married-civ-spouse,,husband,white,male,0,0,0,USA,united-states
25459,435129140.0,143.0,1,private,187479.0,some-college,10.0,married-civ-spouse,exec-managerial,husband,white,male,0,0,3,USA,united-states
22778,937610797.0,3114.0,1,private,162572.0,hs-grad,9.0,never-married,transport-moving,not-in-family,white,male,0,0,3,USA,united-states
273,637106619.0,8529.0,4,local-gov,224058.0,10th,6.0,divorced,transport-moving,not-in-family,black,male,0,0,0,USA,united-states
4813,842431477.0,8916.0,1,private,210498.0,hs-grad,9.0,married-civ-spouse,craft-repair,husband,white,male,2,0,2,USA,united-states
9683,373539912.0,9216.0,3,private,160400.0,hs-grad,9.0,divorced,sales,not-in-family,white,female,0,0,2,USA,united-states
7175,384050165.0,1388.0,2,private,139364.0,bachelors,13.0,married-spouse-absent,exec-managerial,not-in-family,white,male,4,0,2,IRL,ireland
25783,378908533.0,2011.0,4,private,101096.0,doctorate,16.0,never-married,prof-specialty,not-in-family,white,female,0,0,4,USA,united-states
23772,945019420.0,2061.0,0,private,194723.0,some-college,10.0,never-married,adm-clerical,other-relative,white,female,0,0,2,MEX,mexico
21842,366307785.0,3799.0,4,private,122390.0,assoc-voc,11.0,married-civ-spouse,sales,husband,white,male,4,0,2,USA,united-states
16242,273292616.0,9564.0,4,private,228182.0,bachelors,13.0,married-civ-spouse,prof-specialty,husband,white,male,0,0,2,USA,united-states
5388,577437170.0,3858.0,2,local-gov,170382.0,masters,14.0,married-civ-spouse,prof-specialty,wife,white,female,0,0,3,GBR,england
16568,533133981.0,4128.0,1,private,81232.0,bachelors,13.0,married-civ-spouse,sales,husband,white,male,4,0,3,USA,united-states
24741,174573202.0,6538.0,1,private,212195.0,hs-grad,9.0,married-civ-spouse,tech-support,wife,white,female,0,0,1,USA,united-states
8845,355025678.0,5869.0,0,,173945.0,11th,7.0,married-civ-spouse,,other-relative,white,female,0,0,2,USA,united-states
7640,392758156.0,3915.0,1,private,179579.0,masters,14.0,married-civ-spouse,exec-managerial,husband,white,male,0,3,3,USA,united-states
6178,643274133.0,7165.0,2,self-emp-not-inc,205607.0,bachelors,13.0,divorced,prof-specialty,not-in-family,black,female,0,0,2,USA,united-states
27752,574699572.0,9757.0,3,private,335997.0,hs-grad,9.0,married-civ-spouse,craft-repair,husband,white,male,0,3,2,USA,united-states
10339,857218984.0,4995.0,1,private,35644.0,some-college,10.0,married-civ-spouse,craft-repair,husband,white,male,0,0,2,USA,united-states
11679,934063831.0,3441.0,4,private,163729.0,hs-grad,9.0,divorced,tech-support,unmarried,white,female,1,0,2,USA,united-states
27652,145270605.0,4217.0,3,state-gov,231472.0,doctorate,16.0,married-civ-spouse,prof-specialty,husband,white,male,0,0,2,USA,united-states
345,151172742.0,8383.0,2,private,259846.0,hs-grad,9.0,married-civ-spouse,craft-repair,husband,white,male,0,0,3,USA,united-states
14880,593260766.0,3045.0,1,self-emp-inc,136277.0,hs-grad,9.0,never-married,exec-managerial,not-in-family,black,female,0,0,0,USA,united-states
13523,294250524.0,9647.0,3,private,186706.0,hs-grad,9.0,married-civ-spouse,craft-repair,wife,white,female,3,0,2,USA,united-states
6188,827734657.0,2749.0,1,private,186787.0,hs-grad,9.0,never-married,craft-repair,own-child,white,male,0,0,2,USA,united-states
1901,446075497.0,4342.0,1,private,361978.0,hs-grad,9.0,divorced,craft-repair,unmarried,black,female,1,0,2,USA,united-states
10992,656421541.0,4647.0,2,private,124692.0,bachelors,13.0,married-civ-spouse,sales,husband,white,male,0,0,2,USA,united-states
15331,194844394.0,4422.0,1,private,276552.0,hs-grad,9.0,divorced,craft-repair,not-in-family,white,male,0,0,2,USA,united-states
5222,341110552.0,4890.0,1,,49028.0,hs-grad,9.0,never-married,,not-in-family,white,female,0,0,2,USA,united-states
22806,870369257.0,1008.0,4,private,120933.0,some-college,10.0,never-married,priv-house-serv,not-in-family,white,female,0,0,2,USA,united-states
20296,593669728.0,4926.0,4,private,233427.0,bachelors,13.0,married-civ-spouse,prof-specialty,husband,white,male,0,0,1,USA,united-states
15440,611418772.0,2867.0,2,,50862.0,hs-grad,9.0,married-civ-spouse,,husband,white,male,0,0,3,USA,united-states
4689,964465264.0,6942.0,1,private,167336.0,some-college,10.0,never-married,exec-managerial,not-in-family,white,female,4,0,2,USA,united-states
26300,527770662.0,2390.0,4,private,280519.0,10th,6.0,married-civ-spouse,transport-moving,husband,black,male,0,0,2,USA,united-states
16055,769603520.0,648.0,2,private,145439.0,5th-6th,3.0,married-civ-spouse,other-service,husband,other,male,2,0,2,MEX,mexico
7567,457702500.0,2771.0,2,self-emp-not-inc,107762.0,bachelors,13.0,married-civ-spouse,exec-managerial,husband,white,male,0,0,2,USA,united-states
14867,824326539.0,9550.0,1,local-gov,43959.0,bachelors,13.0,married-civ-spouse,prof-specialty,husband,white,male,0,0,2,USA,united-states
8358,302160961.0,5681.0,4,private,170262.0,hs-grad,9.0,married-civ-spouse,exec-managerial,wife,white,female,4,0,2,USA,united-states
516,770920096.0,9918.0,1,self-emp-inc,79078.0,hs-grad,9.0,never-married,farming-fishing,not-in-family,white,male,0,0,3,USA,united-states
2201,511788829.0,1774.0,2,local-gov,208528.0,assoc-acdm,12.0,married-civ-spouse,farming-fishing,husband,white,male,0,0,1,USA,united-states
505,747042608.0,5312.0,4,private,155913.0,assoc-acdm,12.0,married-civ-spouse,craft-repair,husband,white,male,0,0,2,USA,united-states
11201,923049789.0,2103.0,0,private,400635.0,some-college,10.0,never-married,other-service,not-in-family,white,female,0,0,0,,
8238,260582243.0,8313.0,1,private,190772.0,hs-grad,9.0,never-married,adm-clerical,not-in-family,white,female,0,2,2,USA,united-states
5201,786698910.0,7009.0,2,state-gov,271807.0,masters,14.0,divorced,prof-specialty,not-in-family,white,male,0,0,0,USA,united-states
19533,217934293.0,3591.0,3,private,161482.0,bachelors,13.0,divorced,prof-specialty,not-in-family,white,female,0,0,3,USA,united-states
7840,825828922.0,5857.0,2,private,125461.0,bachelors,13.0,married-civ-spouse,sales,husband,white,male,0,0,4,USA,united-states
6119,466265039.0,3603.0,0,private,253190.0,some-college,10.0,never-married,handlers-cleaners,not-in-family,white,male,0,0,3,USA,united-states
19823,138621655.0,5991.0,3,private,337992.0,bachelors,13.0,married-civ-spouse,exec-managerial,husband,asian-pac-islander,male,0,0,3,JPN,japan
6334,329082346.0,1608.0,3,private,96062.0,bachelors,13.0,married-civ-spouse,prof-specialty,husband,white,male,0,0,2,USA,united-states
26492,105941222.0,7587.0,3,private,83622.0,assoc-acdm,12.0,separated,adm-clerical,not-in-family,white,female,1,0,2,USA,united-states
5535,719927733.0,9845.0,0,private,220931.0,bachelors,13.0,never-married,prof-specialty,not-in-family,white,male,0,0,2,PER,peru
21362,372003856.0,1519.0,2,private,190292.0,hs-grad,9.0,divorced,machine-op-inspct,unmarried,white,male,0,0,2,USA,united-states
10512,401724153.0,7511.0,2,self-emp-not-inc,179533.0,hs-grad,9.0,married-civ-spouse,transport-moving,husband,white,male,0,0,4,USA,united-states
12539,653799143.0,6026.0,2,private,255454.0,7th-8th,4.0,married-civ-spouse,machine-op-inspct,husband,black,male,2,0,1,HTI,haiti
4194,972519721.0,7758.0,0,federal-gov,178517.0,some-college,10.0,never-married,tech-support,not-in-family,white,male,0,0,2,USA,united-states
15004,256857495.0,7121.0,0,private,148315.0,hs-grad,9.0,never-married,handlers-cleaners,unmarried,white,male,0,0,2,USA,united-states
15603,196546428.0,2718.0,2,private,152629.0,hs-grad,9.0,married-civ-spouse,craft-repair,husband,white,male,0,0,2,USA,united-states
2907,283073230.0,6959.0,4,self-emp-not-inc,240562.0,prof-school,15.0,married-civ-spouse,prof-specialty,husband,white,male,4,0,2,USA,united-states
21046,753184716.0,3038.0,1,private,236068.0,some-college,10.0,never-married,sales,other-relative,white,female,0,0,0,USA,united-states
11769,871515113.0,8692.0,1,private,32291.0,bachelors,13.0,never-married,prof-specialty,not-in-family,white,,1,0,2,USA,united-states
13954,777433705.0,6172.0,1,private,425127.0,9th,5.0,married-civ-spouse,other-service,other-relative,white,female,0,0,1,USA,united-states
2346,723138795.0,9717.0,1,private,33610.0,hs-grad,9.0,never-married,craft-repair,other-relative,white,male,0,0,3,USA,united-states
8304,321578626.0,9241.0,3,private,353824.0,assoc-acdm,12.0,never-married,adm-clerical,not-in-family,white,male,0,0,2,USA,united-states
1661,642275313.0,2219.0,1,local-gov,179759.0,some-college,10.0,married-spouse-absent,adm-clerical,unmarried,white,female,0,0,2,USA,united-states
9100,481160752.0,3217.0,1,private,243165.0,bachelors,13.0,never-married,prof-specialty,unmarried,white,male,0,0,2,USA,united-states
10133,937924191.0,9574.0,1,private,386806.0,5th-6th,3.0,married-civ-spouse,craft-repair,husband,other,male,0,0,2,MEX,mexico
24208,455629679.0,5434.0,0,private,38925.0,11th,7.0,never-married,other-service,own-child,white,male,0,0,2,USA,united-states
5198,435720816.0,1099.0,2,private,123306.0,some-college,10.0,married-civ-spouse,farming-fishing,husband,white,male,0,0,2,USA,united-states
13317,298091898.0,9772.0,4,self-emp-inc,118119.0,some-college,10.0,married-civ-spouse,exec-managerial,husband,white,male,4,0,3,USA,united-states
1588,823835012.0,2644.0,3,state-gov,54887.0,doctorate,16.0,married-civ-spouse,prof-specialty,husband,white,male,0,0,2,USA,united-states
25951,499338365.0,1511.0,1,private,39092.0,some-college,10.0,married-civ-spouse,exec-managerial,husband,white,male,2,0,3,USA,united-states
21339,358327001.0,389.0,2,private,29762.0,hs-grad,9.0,married-civ-spouse,craft-repair,husband,white,male,0,0,3,USA,united-states
25958,558728449.0,8423.0,2,private,193882.0,hs-grad,9.0,married-civ-spouse,exec-managerial,husband,white,male,0,0,2,USA,united-states
6025,540318278.0,3987.0,4,self-emp-inc,146103.0,bachelors,13.0,married-civ-spouse,prof-specialty,husband,white,male,0,0,2,USA,united-states
21120,330839682.0,3954.0,3,self-emp-not-inc,229394.0,11th,7.0,divorced,exec-managerial,unmarried,white,female,0,0,3,USA,united-states
2540,312951482.0,3779.0,2,private,199816.0,hs-grad,9.0,divorced,machine-op-inspct,own-child,white,male,0,0,2,USA,united-states
14918,559150594.0,9267.0,3,private,147098.0,hs-grad,9.0,married-civ-spouse,craft-repair,husband,white,male,0,0,3,USA,united-states
13620,355084060.0,9962.0,1,state-gov,79440.0,masters,14.0,never-married,prof-specialty,not-in-family,asian-pac-islander,male,0,0,1,JPN,japan
20294,372963708.0,408.0,4,private,344152.0,masters,14.0,married-civ-spouse,prof-specialty,husband,white,male,2,0,3,USA,united-states
17502,446831038.0,7889.0,1,local-gov,45607.0,masters,14.0,never-married,prof-specialty,not-in-family,white,male,0,0,3,USA,united-states
11073,195063391.0,450.0,2,private,147548.0,hs-grad,9.0,married-civ-spouse,machine-op-inspct,husband,white,male,0,0,4,USA,united-states
25662,829065665.0,3039.0,2,private,234633.0,some-college,10.0,never-married,craft-repair,not-in-family,white,male,0,0,2,USA,united-states
20734,949088244.0,4782.0,1,private,129775.0,hs-grad,9.0,divorced,transport-moving,not-in-family,white,male,0,0,2,USA,united-states
2754,546445084.0,3927.0,1,self-emp-not-inc,134737.0,hs-grad,9.0,married-civ-spouse,craft-repair,husband,white,male,0,0,1,USA,united-states
7495,627884476.0,5637.0,1,self-emp-not-inc,29974.0,assoc-voc,11.0,never-married,farming-fishing,own-child,white,male,4,0,2,USA,united-states
2277,996097214.0,1442.0,2,private,127314.0,bachelors,13.0,married-civ-spouse,tech-support,husband,white,male,0,0,2,USA,united-states
18824,951059488.0,4186.0,2,self-emp-not-inc,52131.0,prof-school,15.0,married-civ-spouse,prof-specialty,husband,white,male,0,3,3,USA,united-states
21052,394884894.0,7357.0,2,federal-gov,46366.0,hs-grad,9.0,separated,adm-clerical,unmarried,black,female,0,0,2,USA,united-states
11026,853880397.0,3629.0,2,private,173682.0,assoc-voc,11.0,married-civ-spouse,craft-repair,husband,white,male,0,0,2,USA,united-states
22869,665391663.0,7244.0,3,federal-gov,160646.0,assoc-voc,11.0,married-civ-spouse,adm-clerical,wife,white,female,0,0,1,USA,united-states
17991,955785441.0,5462.0,2,private,26502.0,bachelors,13.0,married-civ-spouse,craft-repair,husband,white,male,0,0,4,USA,united-states
9331,967402309.0,6260.0,0,private,145844.0,assoc-acdm,12.0,never-married,exec-managerial,not-in-family,white,female,0,0,3,USA,united-states
7937,513386730.0,5399.0,4,local-gov,259216.0,9th,5.0,divorced,other-service,not-in-family,white,female,0,0,2,USA,united-states
23231,459523694.0,1925.0,2,private,37937.0,bachelors,13.0,married-civ-spouse,exec-managerial,husband,white,male,0,0,3,USA,united-states
8944,360820455.0,1879.0,2,private,172104.0,prof-school,15.0,never-married,prof-specialty,not-in-family,other,male,0,0,2,IND,india
12027,439721454.0,1935.0,3,private,101299.0,hs-grad,9.0,married-civ-spouse,craft-repair,husband,white,male,0,0,2,USA,united-states
16461,625269421.0,9213.0,0,private,130849.0,some-college,10.0,never-married,sales,own-child,white,female,0,0,0,USA,united-states
7481,347634648.0,6521.0,4,private,238611.0,7th-8th,4.0,widowed,other-service,unmarried,black,female,0,0,2,USA,united-states
10468,192527510.0,3881.0,2,private,249039.0,assoc-voc,11.0,married-civ-spouse,prof-specialty,wife,white,female,0,0,2,USA,united-states
10244,910000300.0,2130.0,2,private,22245.0,hs-grad,9.0,married-civ-spouse,sales,husband,white,male,0,0,2,USA,united-states
21547,229502268.0,4387.0,3,private,171914.0,bachelors,13.0,married-civ-spouse,prof-specialty,husband,white,male,0,0,3,USA,united-states
10221,262564258.0,5513.0,3,self-emp-not-inc,188273.0,hs-grad,9.0,married-civ-spouse,farming-fishing,husband,white,male,4,0,3,USA,united-states
27484,869722049.0,8530.0,0,private,243941.0,some-college,10.0,never-married,sales,own-child,amer-indian-eskimo,female,0,2,1,USA,united-states
2647,502589034.0,3623.0,2,private,370032.0,masters,14.0,married-civ-spouse,prof-specialty,husband,white,male,0,0,2,USA,united-states
23573,166130468.0,7484.0,3,local-gov,177163.0,masters,14.0,widowed,prof-specialty,unmarried,white,female,1,0,3,USA,united-states
16316,442207836.0,7605.0,3,self-emp-not-inc,163352.0,prof-school,15.0,married-civ-spouse,prof-specialty,husband,white,male,0,0,4,USA,united-states
9648,605401637.0,6402.0,2,private,167187.0,bachelors,13.0,never-married,prof-specialty,not-in-family,white,female,0,0,2,USA,united-states
26990,865344607.0,2303.0,1,state-gov,123253.0,bachelors,13.0,married-civ-spouse,prof-specialty,husband,white,male,0,0,2,USA,united-states
23801,866018134.0,2192.0,2,self-emp-not-inc,223789.0,masters,14.0,married-civ-spouse,prof-specialty,husband,white,male,0,0,2,USA,united-states
5503,800898999.0,3644.0,2,self-emp-inc,173326.0,hs-grad,9.0,never-married,prof-specialty,unmarried,white,female,0,0,1,USA,united-states
11243,377040671.0,2244.0,1,private,174463.0,hs-grad,9.0,never-married,craft-repair,own-child,white,male,0,0,1,USA,united-states
27689,814696894.0,6125.0,2,private,184801.0,bachelors,13.0,married-civ-spouse,sales,husband,white,male,0,0,3,USA,united-states
852,113523669.0,453.0,1,private,238073.0,some-college,10.0,never-married,machine-op-inspct,other-relative,white,male,0,0,2,COL,columbia
5720,426776149.0,923.0,2,state-gov,82161.0,hs-grad,9.0,married-civ-spouse,protective-serv,husband,white,male,0,0,4,USA,united-states
17624,434853804.0,3690.0,3,federal-gov,110373.0,some-college,10.0,married-civ-spouse,tech-support,husband,white,male,0,0,2,USA,united-states
16213,471619927.0,8721.0,2,local-gov,105803.0,masters,14.0,married-civ-spouse,exec-managerial,husband,white,male,0,0,2,USA,united-states
16437,803801451.0,1648.0,1,private,261646.0,hs-grad,9.0,married-civ-spouse,machine-op-inspct,husband,white,male,0,0,2,USA,united-states
7063,181544581.0,5540.0,3,private,158948.0,hs-grad,9.0,married-civ-spouse,transport-moving,husband,white,male,0,0,4,USA,united-states
10210,839753223.0,9807.0,2,private,129573.0,assoc-acdm,12.0,married-civ-spouse,sales,husband,white,male,0,0,3,USA,united-states
22136,588751447.0,7967.0,1,state-gov,159247.0,masters,14.0,married-civ-spouse,prof-specialty,husband,white,male,0,0,3,USA,united-states
19263,305227548.0,6878.0,0,,37932.0,some-college,10.0,never-married,,own-child,white,male,0,0,1,USA,united-states
3949,712302588.0,2694.0,1,private,54595.0,10th,6.0,widowed,other-service,not-in-family,black,female,0,3,2,USA,united-states
14618,933538764.0,9732.0,2,private,154641.0,bachelors,13.0,married-civ-spouse,exec-managerial,husband,white,male,0,0,2,USA,united-states
5032,227546499.0,5169.0,1,self-emp-inc,384276.0,some-college,10.0,married-civ-spouse,exec-managerial,husband,white,male,0,0,3,USA,united-states
10397,344415729.0,5203.0,1,private,30381.0,bachelors,13.0,married-civ-spouse,sales,husband,white,male,0,0,2,USA,united-states
8999,556987842.0,3212.0,3,private,82285.0,bachelors,13.0,married-spouse-absent,other-service,other-relative,black,female,0,0,2,HTI,haiti
13115,649973013.0,5641.0,1,private,162930.0,bachelors,13.0,married-civ-spouse,prof-specialty,husband,white,male,0,0,3,ITA,italy
8480,730429080.0,3990.0,3,private,178341.0,10th,6.0,married-civ-spouse,machine-op-inspct,husband,white,male,0,0,3,USA,united-states
6778,674393122.0,5694.0,0,private,309580.0,hs-grad,9.0,never-married,adm-clerical,own-child,white,male,0,0,2,USA,united-states
5638,512896431.0,1488.0,4,private,314153.0,bachelors,13.0,married-civ-spouse,sales,husband,white,male,0,2,3,USA,united-states
8008,805039266.0,9327.0,2,local-gov,287306.0,assoc-acdm,12.0,married-civ-spouse,prof-specialty,wife,black,female,4,0,2,,
9356,972030687.0,5698.0,4,self-emp-not-inc,95280.0,some-college,10.0,married-civ-spouse,sales,husband,white,male,4,0,2,USA,united-states
14250,114128095.0,6576.0,4,private,100313.0,some-college,10.0,married-civ-spouse,protective-serv,husband,white,male,0,3,2,USA,united-states
